datestring,datetimestring,n_actions,n_started,n_netstarted,n_ended,n_ongoing,n_carriedoverstart,n_duetostartthismonth,n_duetoendthismonth,n_duetostartwithin30days,n_duetoendwithin30days,n_startedthismonth,n_endedthismonth,n_startedinlast30days,n_endedinlast30days,p_startedofthoseduetostart,p_netstartedofthoseduetostart,p_ended,p_ongoing,n_earlystart,n_earlyend,p_earlystart,p_earlyend,n_latestart,n_lateend,n_overduestart,n_overdueend,p_latestart,p_lateend,p_overduestart,p_overdueend,p_netoverduestart,m_daysearlystart,m_daysearlyend,m_dayslatestart,m_dayslateend,m_daysoverduestart,m_daysoverdueend,t_dayslatestart,t_dayslateend,t_daysoverduestart,t_daysoverdueend
2012-07-29,2012-07-29 23:56:21,1252.0,932.0,37.0,55.0,877.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904,0.8043,0.0439,0.7005,4,14,0.0043,0.2545,1,1,9,13,0.0011,0.0182,0.0096,0.1912,0.1957,7.0,41.92857142857143,3.0,11.0,22.0,22.0,3.0,11.0,198.0,286.0
2012-07-30,2012-07-30 00:13:11,1252.0,932.0,37.0,55.0,877.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904,0.8043,0.0439,0.7005,4,14,0.0043,0.2545,1,1,9,13,0.0011,0.0182,0.0096,0.1912,0.1957,7.0,41.92857142857143,3.0,11.0,22.0,22.0,3.0,11.0,198.0,286.0
2012-07-30,2012-07-30 00:13:36,1252.0,932.0,37.0,55.0,877.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904,0.8043,0.0439,0.7005,4,14,0.0043,0.2545,1,1,9,13,0.0011,0.0182,0.0096,0.1912,0.1957,7.0,41.92857142857143,3.0,11.0,22.0,22.0,3.0,11.0,198.0,286.0
2012-07-30,2012-07-30 00:15:42,1252.0,932.0,37.0,55.0,877.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904,0.8043,0.0439,0.7005,4,14,0.0043,0.2545,1,1,9,13,0.0011,0.0182,0.0096,0.1912,0.1957,7.0,41.92857142857143,3.0,11.0,22.0,22.0,3.0,11.0,198.0,286.0
2012-07-30,2012-07-30 00:19:31,1252.0,932.0,37.0,55.0,877.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904,0.8043,0.0439,0.7005,4,14,0.0043,0.2545,1,1,9,13,0.0011,0.0182,0.0096,0.1912,0.1957,7.0,41.92857142857143,3.0,11.0,22.0,22.0,3.0,11.0,198.0,286.0
2012-07-30,2012-07-30 00:22:15,1252.0,932.0,37.0,55.0,877.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904,0.8043,0.0439,0.7005,4,14,0.0043,0.2545,1,1,9,13,0.0011,0.0182,0.0096,0.1912,0.1957,7.0,41.92857142857143,3.0,11.0,22.0,22.0,3.0,11.0,198.0,286.0
2012-07-30,2012-07-30 00:25:27,1252.0,932.0,37.0,55.0,877.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904,0.8043,0.0439,0.7005,4,14,0.0043,0.2545,1,1,9,13,0.0011,0.0182,0.0096,0.1912,0.1957,7.0,41.92857142857143,3.0,11.0,22.0,22.0,3.0,11.0,198.0,286.0
2012-07-30,2012-07-30 00:28:10,1252.0,932.0,37.0,55.0,877.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904,0.8043,0.0439,0.7005,4,14,0.0043,0.2545,1,1,9,13,0.0011,0.0182,0.0096,0.1912,0.1957,7.0,41.92857142857143,3.0,11.0,22.0,22.0,3.0,11.0,198.0,286.0
2012-07-30,2012-07-30 00:29:00,1252.0,932.0,37.0,55.0,877.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904,0.8043,0.0439,0.7005,4,14,0.0043,0.2545,1,1,9,13,0.0011,0.0182,0.0096,0.1912,0.1957,7.0,41.92857142857143,3.0,11.0,22.0,22.0,3.0,11.0,198.0,286.0
2012-07-30,2012-07-30 00:34:14,1252.0,932.0,37.0,55.0,877.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904,0.8043,0.0439,0.7005,4,14,0.0043,0.2545,1,1,9,13,0.0011,0.0182,0.0096,0.1912,0.1957,7.0,41.92857142857143,3.0,11.0,22.0,22.0,3.0,11.0,198.0,286.0
2012-07-30,2012-07-30 00:37:02,1252.0,932.0,37.0,55.0,877.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904,0.8043,0.0439,0.7005,4,14,0.0043,0.2545,1,1,9,13,0.0011,0.0182,0.0096,0.1912,0.1957,7.0,41.92857142857143,3.0,11.0,22.0,22.0,3.0,11.0,198.0,286.0
2012-07-30,2012-07-30 00:37:36,1252.0,932.0,37.0,55.0,877.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904,0.8043,0.0439,0.7005,4,14,0.0043,0.2545,1,1,9,13,0.0011,0.0182,0.0096,0.1912,0.1957,7.0,41.92857142857143,3.0,11.0,22.0,22.0,3.0,11.0,198.0,286.0
2012-07-30,2012-07-30 00:39:28,1252.0,932.0,37.0,55.0,877.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904,0.8043,0.0439,0.7005,4,14,0.0043,0.2545,1,1,9,13,0.0011,0.0182,0.0096,0.1912,0.1957,7.0,41.92857142857143,3.0,11.0,22.0,22.0,3.0,11.0,198.0,286.0
2012-07-30,2012-07-30 00:39:30,1252.0,932.0,37.0,55.0,877.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904,0.8043,0.0439,0.7005,4,14,0.0043,0.2545,1,1,9,13,0.0011,0.0182,0.0096,0.1912,0.1957,7.0,41.92857142857143,3.0,11.0,22.0,22.0,3.0,11.0,198.0,286.0
2012-07-30,2012-07-30 01:18:19,1252.0,932.0,37.0,55.0,877.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904,0.8043,0.0439,0.7005,4,14,0.0043,0.2545,1,1,9,13,0.0011,0.0182,0.0096,0.1912,0.1957,7.0,41.92857142857143,3.0,11.0,22.0,22.0,3.0,11.0,198.0,286.0
2012-07-30,2012-07-30 01:21:26,1252.0,932.0,37.0,55.0,877.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904,0.8043,0.0439,0.7005,4,14,0.0043,0.2545,1,1,9,13,0.0011,0.0182,0.0096,0.1912,0.1957,7.0,41.92857142857143,3.0,11.0,22.0,22.0,3.0,11.0,198.0,286.0
2012-07-30,2012-07-30 01:25:31,1252.0,932.0,37.0,55.0,877.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904,0.8043,0.0439,0.7005,4,14,0.0043,0.2545,1,1,9,13,0.0011,0.0182,0.0096,0.1912,0.1957,7.0,41.92857142857143,3.0,11.0,22.0,22.0,3.0,11.0,198.0,286.0
2012-07-30,2012-07-30 01:27:36,1252.0,932.0,37.0,55.0,877.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904,0.8043,0.0439,0.7005,4,14,0.0043,0.2545,1,1,9,13,0.0011,0.0182,0.0096,0.1912,0.1957,7.0,41.92857142857143,3.0,11.0,22.0,22.0,3.0,11.0,198.0,286.0
2012-07-30,2012-07-30 01:29:24,1252.0,932.0,37.0,55.0,877.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904,0.8043,0.0439,0.7005,4,14,0.0043,0.2545,1,1,9,13,0.0011,0.0182,0.0096,0.1912,0.1957,7.0,41.92857142857143,3.0,11.0,22.0,22.0,3.0,11.0,198.0,286.0
2012-07-22,2012-07-22 23:27:55,1252.0,932.0,37.0,55.0,877.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904,0.8043,0.0439,0.7005,4,14,0.0043,0.2545,1,1,9,13,0.0011,0.0182,0.0096,0.1912,0.1957,7.0,41.92857142857143,3.0,11.0,22.0,22.0,3.0,11.0,198.0,286.0
2012-07-22,2012-07-22 23:27:55,1252.0,932.0,37.0,55.0,877.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904,0.8043,0.0439,0.7005,4,14,0.0043,0.2545,1,1,9,13,0.0011,0.0182,0.0096,0.1912,0.1957,7.0,41.92857142857143,3.0,11.0,22.0,22.0,3.0,11.0,198.0,286.0
2012-07-30,2012-07-30 20:47:17,1252.0,932.0,37.0,55.0,877.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904,0.8043,0.0439,0.7005,4,14,0.0043,0.2545,1,1,9,13,0.0011,0.0182,0.0096,0.1912,0.1957,7.0,41.92857142857143,3.0,11.0,30.0,30.0,3.0,11.0,270.0,390.0
2012-08-01,2012-08-01 22:26:59,1253.0,974.0,79.0,119.0,855.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9838,0.8316,0.095,0.6824,5,23,0.0051,0.1933,7,9,16,24,0.0072,0.0756,0.0162,0.1678,0.1684,9.0,35.17391304347826,7.714285714285714,14.222222222222221,6.8125,7.458333333333333,54.0,128.0,109.0,179.0
2012-08-01,2012-08-01 22:26:59,1253.0,974.0,79.0,119.0,855.0,895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9838,0.8316,0.095,0.6824,5,23,0.0051,0.1933,7,9,16,24,0.0072,0.0756,0.0162,0.1678,0.1684,9.0,35.17391304347826,7.714285714285714,14.222222222222221,6.8125,7.458333333333333,54.0,128.0,109.0,179.0
